<<<<<<< HEAD
课程编号,课程名,校区,老师,分类,类型,开课学院,学分
B1B032130,电路(全汉语),沙河校区,龚光红,工程基础类,必修,自动化科学与电气工程学院,4
B1B032130,电路(全汉语),沙河校区,闫 蓓,工程基础类,必修,自动化科学与电气工程学院,4
B1B05201A,理论力学A（1）(全汉语),沙河校区,王 琪,工程基础类,必修,航空科学与工程学院,4
B1B05201A,理论力学A（1）(全汉语),沙河校区,吕 敬,工程基础类,必修,航空科学与工程学院,4
B1B05201A,理论力学A（1）(全汉语),沙河校区,赵 振,工程基础类,必修,航空科学与工程学院,4
B1B05201A,理论力学A（1）(全汉语),沙河校区,梁 伟,工程基础类,必修,航空科学与工程学院,4
B1B05201B,理论力学B(全汉语),沙河校区,王青云,工程基础类,必修,航空科学与工程学院,4
B1B05201B,理论力学B(全汉语),沙河校区,程 耀,工程基础类,必修,航空科学与工程学院,4
B1B052040,材料力学B(全汉语),沙河校区,鲍 蕊|王治华,工程基础类,必修,航空科学与工程学院,2.5
B1B052050,工程力学(全汉语),沙河校区,王奇志,工程基础类,必修,航空科学与工程学院,3.5
B1B052050,工程力学(全汉语),沙河校区,潘 兵,工程基础类,必修,航空科学与工程学院,3.5
B1B052050,工程力学(全汉语),沙河校区,苏 飞,工程基础类,必修,航空科学与工程学院,3.5
B1B061010,大学计算机基础(全汉语),沙河校区,万 寒,工程基础类,必修,计算机学院,2
B1B061040,大学计算机基础(全汉语),沙河校区,艾明晶,工程基础类,必修,计算机学院,2
B1B072070,机械设计基础C(全汉语),沙河校区,边宇枢,工程基础类,必修,机械工程及自动化学院,3
B1B231010,高级语言程序设计,沙河校区,孙自安,工程基础类,必修,高等理工学院,3
B1B231010,高级语言程序设计,沙河校区,张日崇,工程基础类,必修,高等理工学院,3
B1B231010,高级语言程序设计,沙河校区,荣文戈,工程基础类,必修,高等理工学院,3
B1B231010,高级语言程序设计,沙河校区,盛 浩,工程基础类,必修,高等理工学院,3
B1B231010,高级语言程序设计,沙河校区,吴文峻,工程基础类,必修,高等理工学院,3
B1B231010,高级语言程序设计,沙河校区,李 帅,工程基础类,必修,高等理工学院,3
B1B321030,工程材料(全汉语),沙河校区,孙 兼,工程基础类,必修,工程训练中心,2
B1B321030,工程材料(全汉语),沙河校区,陈娇娇,工程基础类,必修,工程训练中心,2
B1B322010,机械工程技术训练A(全汉语),沙河校区,尚金英,工程基础类,必修,工程训练中心,3.5
B1B322010,机械工程技术训练A(全汉语),沙河校区,尚金英,工程基础类,必修,工程训练中心,3.5
B1B322010,机械工程技术训练A(全汉语),沙河校区,尚金英,工程基础类,必修,工程训练中心,3.5
B1B322050,加工工艺学(全汉语),沙河校区,戴向国,工程基础类,选修,工程训练中心,3
B1B322050,加工工艺学(全汉语),沙河校区,马鹏举|史成坤,工程基础类,选修,工程训练中心,3
B2F020110,信息安全导论(全汉语),沙河校区,刘建伟|伍前红|张宗洋,核心通识类,必修,电子信息工程学院,1
B2F020150,太空千里眼--空天遥感成像及其信息处理(全汉语),沙河校区,王 俊|孙进平|许小剑,核心通识类,必修,电子信息工程学院,1
B2F020160,密码的奥秘(全汉语),沙河校区,刘建伟|关振宇,核心通识类,必修,电子信息工程学院,1
B2F020170,电磁能量和电磁干扰(全汉语),沙河校区,谢树果,核心通识类,必修,电子信息工程学院,1
B2F020180,指南者—定位导航技术(全汉语),沙河校区,秦红磊|金 天,核心通识类,必修,电子信息工程学院,1
B2F020190,电子与电磁波的物理世界(全汉语),沙河校区,阮存军,核心通识类,必修,电子信息工程学院,1
B2F020210,走进光电信息世界(全汉语),沙河校区,郑 铮|万育航,核心通识类,必修,电子信息工程学院,1
B2F020220,走进自旋电子世界(全汉语),沙河校区,张 悦,核心通识类,必修,电子信息工程学院,1
B2F020230,飞机神经中枢漫游(全汉语),沙河校区,熊华钢|李 峭|王 彤|何 锋,核心通识类,必修,电子信息工程学院,1
B2F020240,隐身漫谈(全汉语),沙河校区,武建华|李志平|王正鹏,核心通识类,必修,电子信息工程学院,1
B2F020250,走进无线互联与移动大数据(全汉语),沙河校区,杨晨阳|韩圣千|刘婷婷,核心通识类,必修,电子信息工程学院,1
B2F020260,感知我们的地球(全汉语),沙河校区,陈 杰|徐华平|于 泽|王鹏波,核心通识类,必修,电子信息工程学院,1
B2F020390,电子信息工程导论(全汉语),沙河校区,王祖林|张有光|赵巍胜,核心通识类,必修,电子信息工程学院,1.5
B2F030110,从弦弧近似到微积分(全汉语),沙河校区,李运华|杨丽曼,核心通识类,必修,自动化科学与电气工程学院,1
B2F030120,系统控制前沿(全汉语),沙河校区,贾英民,核心通识类,必修,自动化科学与电气工程学院,1
B2F030130,走进机器人世界(全汉语),沙河校区,王少萍,核心通识类,必修,自动化科学与电气工程学院,1
B2F030140,自动化检测前沿与实践(全汉语),沙河校区,袁海文,核心通识类,必修,自动化科学与电气工程学院,1
B2F030150,电机驱动与机器人(全汉语),沙河校区,严 亮,核心通识类,必修,自动化科学与电气工程学院,1
B2F030160,仿生智能与无人机(全汉语),沙河校区,段海滨|吴 江,核心通识类,必修,自动化科学与电气工程学院,1
B2F040120,燃烧室设计难点及前沿问题研讨(全汉语),沙河校区,黄 勇,核心通识类,必修,能源与动力工程学院,1
B2F050130,现代大学概论(全汉语),沙河校区,刘沛清,核心通识类,必修,航空科学与工程学院,2
B2F050140,能源概论(全汉语),沙河校区,邢玉明,核心通识类,必修,航空科学与工程学院,2
B2F050140,能源概论(全汉语),沙河校区,邢玉明,核心通识类,必修,航空科学与工程学院,2
B2F050180,载人航天史话与生命保障技术导论(全汉语),沙河校区,李运泽,核心通识类,必修,航空科学与工程学院,1
B2F050260,氢能的奥秘(全汉语),沙河校区,徐伟强,核心通识类,必修,航空科学与工程学院,1
B2F070120,中外艺术设计简史(全汉语),沙河校区,王 鑫,核心通识类,必修,机械工程及自动化学院,2
B2F070160,机械之美(全汉语),沙河校区,付永领|张德远|王田苗|李东升|丁希仑|王春洁|段桂江|李刘合,核心通识类,必修,机械工程及自动化学院,1
B2F110110,大学语文(全汉语),沙河校区,石天强,核心通识类,必修,人文社会科学学院,2
B2F110110,大学语文(全汉语),沙河校区,石天强,核心通识类,必修,人文社会科学学院,2
B2F110110,大学语文(全汉语),沙河校区,石天强,核心通识类,必修,人文社会科学学院,2
B2F110130,音乐作品分析与欣赏(全汉语),沙河校区,苏丹娜,核心通识类,必修,人文社会科学学院,2
B2F110140,舞蹈之美(全汉语),沙河校区,井志伟,核心通识类,必修,人文社会科学学院,2
B2F110170,合唱与指挥(全汉语),沙河校区,李爱华,核心通识类,必修,人文社会科学学院,2
B2F110170,合唱与指挥(全汉语),沙河校区,李爱华,核心通识类,必修,人文社会科学学院,2
B2F110190,美学基础(全汉语),沙河校区,石天强,核心通识类,必修,人文社会科学学院,2
B2F110220,廉洁领导与管理(全汉语),沙河校区,任建明,核心通识类,必修,人文社会科学学院,2
B2F110230,哲学问题导论(全汉语),沙河校区,王 娜,核心通识类,必修,人文社会科学学院,2
B2F110240,动作语言分析与训练(全汉语),沙河校区,井志伟,核心通识类,必修,人文社会科学学院,2
B2F110250,科技哲学经典问题(全汉语),沙河校区,王 妍,核心通识类,必修,人文社会科学学院,2
B2F110260,合唱与声乐艺术(全汉语),沙河校区,苏丹娜,核心通识类,必修,人文社会科学学院,2
B2F120130,英语批判阅读与写作(英汉双语),沙河校区,张晓君,核心通识类,必修,外国语学院,2
B2F120150,英语演讲(英汉双语),沙河校区,胥国红,核心通识类,必修,外国语学院,2
B2F130110,智能汽车设计与制作(全汉语),沙河校区,余贵珍,核心通识类,必修,交通科学与工程学院,2
B2F140110,失败的逻辑——你为什么失败(全汉语),沙河校区,潘 星,核心通识类,必修,可靠性与系统工程学院,2
B2F140120,可靠de工程素养(全汉语),沙河校区,章文晋,核心通识类,必修,可靠性与系统工程学院,1
B2F140130,确信飞机去哪了(全汉语),沙河校区,赵廷弟,核心通识类,必修,可靠性与系统工程学院,1
B2F140140,质量与可靠性专业生态圈(全汉语),沙河校区,康 锐,核心通识类,必修,可靠性与系统工程学院,1
B2F171120,仪器科学与科技文明(全汉语),沙河校区,钱 政,核心通识类,必修,仪器科学与光电工程学院,2
B2F190110,趣味物理研讨课(全汉语),沙河校区,张国锋,核心通识类,必修,物理科学与核能工程学院,2
B2F200180,影像中的司法与正义(全汉语),沙河校区,初殿清,核心通识类,必修,法学院,1
B2F260120,中国美术史(全汉语),沙河校区,宫万琳|叶 强|李 佳,核心通识类,必修,新媒体艺术与设计学院,2
B2F260130,西方美术与观念(全汉语),沙河校区,张 晨,核心通识类,必修,新媒体艺术与设计学院,2
B2F260170,文化衫设计与制作(全汉语),沙河校区,宋泽惠|王 丹,核心通识类,必修,新媒体艺术与设计学院,2
B2F270110,环境与可持续发展(全汉语),沙河校区,范文宏,核心通识类,必修,空间与环境学院,2
B2F280120,老庄哲学与人生智慧(全汉语),沙河校区,李富君,核心通识类,必修,马克思主义学院,2
B2F280130,人生哲学(全汉语),沙河校区,郁树廷,核心通识类,必修,马克思主义学院,2
B2F280160,哲学思维与应用(全汉语),沙河校区,谭裘麒|万林艳|赵义良|王 娜,核心通识类,必修,马克思主义学院,2
B2F280170,古今茶文化(全汉语),沙河校区,田 真,核心通识类,必修,马克思主义学院,2
B2F290160,诗歌与中国文化(全汉语),沙河校区,罗 旻,核心通识类,必修,人文与社会科学高等研究院,2
B2F290190,博弈与社会(全汉语),沙河校区,段 颀,核心通识类,必修,人文与社会科学高等研究院,2
B2F290320,联邦党人文集与美国立宪辨析(全汉语),沙河校区,田飞龙,核心通识类,必修,人文与社会科学高等研究院,2
B2F293480,中西哲学与文化比较(全汉语),沙河校区,张耀南,核心通识类,必修,人文与社会科学高等研究院,2
B2F300130,空间科学导论(全汉语),沙河校区,刘文龙,核心通识类,必修,空间与环境学院,1
B3I042110,工程热力学(全汉语),沙河校区,丁水汀|李 果|李 挺,核心专业类,必修,能源与动力工程学院,2.5
B3I042110,工程热力学(全汉语),沙河校区,李海旺,核心专业类,必修,能源与动力工程学院,2.5
B3I062110,计算机组成(全汉语),沙河校区,高小鹏|杨建磊,核心专业类,必修,计算机学院,4
B3I062110,计算机组成(全汉语),沙河校区,刘旭东,核心专业类,必修,计算机学院,4
B3I062110,计算机组成(全汉语),沙河校区,高小鹏,核心专业类,必修,计算机学院,4
B3I062110,计算机组成(全汉语),沙河校区,肖利民,核心专业类,必修,计算机学院,4
B3I062110,计算机组成(全汉语),沙河校区,牛建伟,核心专业类,必修,计算机学院,4
B3I062110,计算机组成(全汉语),沙河校区,栾钟治,核心专业类,必修,计算机学院,4
B3I062120,算法设计与分析(全汉语),沙河校区,许 可|韩 军|盛 浩,核心专业类,必修,计算机学院,2
B3I062120,算法设计与分析(全汉语),沙河校区,张永飞,核心专业类,必修,计算机学院,2
B3I062410,计算机组成课程设计(全汉语),沙河校区,高小鹏,核心专业类,必修,计算机学院,3
B3I062410,计算机组成课程设计(全汉语),沙河校区,张 亮,核心专业类,必修,计算机学院,3
B3I062410,计算机组成课程设计(全汉语),沙河校区,万 寒,核心专业类,必修,计算机学院,3
B3I062410,计算机组成课程设计(全汉语),沙河校区,李辉勇,核心专业类,必修,计算机学院,3
B3I062410,计算机组成课程设计(全汉语),沙河校区,杨建磊,核心专业类,必修,计算机学院,3
B3I072310,工程材料学(全汉语),沙河校区,张彦华,核心专业类,必修,机械工程及自动化学院,2
B3I072310,工程材料学(全汉语),沙河校区,曲文卿,核心专业类,必修,机械工程及自动化学院,2
B3I072310,工程材料学(全汉语),沙河校区,郭 伟,核心专业类,必修,机械工程及自动化学院,2
B3I072310,工程材料学(全汉语),沙河校区,赵海云,核心专业类,必修,机械工程及自动化学院,2
B3I072610,构成原理(1)(全汉语),沙河校区,王 鑫,核心专业类,必修,机械工程及自动化学院,2
B3I072630,工业设计方法(全汉语),沙河校区,张 融|魏晓东,核心专业类,必修,机械工程及自动化学院,2
B3I072640,设计创意基础(全汉语),沙河校区,张 融|魏晓东,核心专业类,必修,机械工程及自动化学院,2
B3I072720,设计色彩(全汉语),沙河校区,马良书,核心专业类,必修,机械工程及自动化学院,2
B3I072740,表现技法(1)(全汉语),沙河校区,宫浩钦,核心专业类,必修,机械工程及自动化学院,2.5
B3I072760,计算机辅助工业设计(1)(全汉语),沙河校区,王运巧,核心专业类,必修,机械工程及自动化学院,2
B3I08221B,微观经济学(全汉语),沙河校区,刘天亮|朱 磊,核心专业类,必修,经济管理学院,3
B3I08221B,微观经济学(全汉语),沙河校区,刘天亮|朱 磊,核心专业类,必修,经济管理学院,3
B3I08221C,公司财务(全汉语),沙河校区,谢 岚,核心专业类,必修,经济管理学院,2.5
B3I08222C,中级财务会计(全汉语),沙河校区,白 明,核心专业类,必修,经济管理学院,4
B3I08223C,计算机原理与应用(全汉语),沙河校区,李 红,核心专业类,必修,经济管理学院,2
B3I08225C,国际经济学(全汉语),沙河校区,方 虹,核心专业类,必修,经济管理学院,3
B3I082260,课程设计（公司财务）(全汉语),沙河校区,谢 岚,核心专业类,必修,经济管理学院,0.5
B3I08226C,保险学(全汉语),沙河校区,赵尚梅,核心专业类,必修,经济管理学院,2
B3I08227C,货币金融学(全汉语),沙河校区,赵尚梅,核心专业类,必修,经济管理学院,3
B3I08228C,组织行为学(全汉语),沙河校区,武 欣,核心专业类,必修,经济管理学院,2
B3I08332C,数据结构(全汉语),沙河校区,王 强,核心专业类,必修,经济管理学院,2.5
B3I08353D,电子商务概论(全汉语),沙河校区,闪四清,核心专业类,必修,经济管理学院,2
B3I08397D,环境经济思想史(全汉语),沙河校区,王鑫,核心专业类,必修,经济管理学院,1.5
B3I09241A,数据结构(全汉语),沙河校区,王拥军,核心专业类,必修,数学与系统科学学院,3
B3I101240,生物与医学工程概论(全汉语),沙河校区,孙联文|易宗春|刘 红|邓小燕|樊瑜波|蒲 放|荣 龙|李晓明|周前祥,核心专业类,必修,生物与医学工程学院,2
B3I101250,生物与医学工程基础实验(全汉语),沙河校区,孙联文|李淑宇|荣 龙|宋 崴|郑丽沙|周 钢|周前祥|孙安强|谢倍珍|岳蜀华,核心专业类,必修,生物与医学工程学院,2
B3I102230,临床医学基础与医学伦理(全汉语),沙河校区,孙联文|汲 婧,核心专业类,必修,生物与医学工程学院,2
B3I102260,生物化学,沙河校区,宋怡玲|宋 崴,核心专业类,必修,生物与医学工程学院,2
B3I102260,生物化学,沙河校区,宋怡玲|宋 崴,核心专业类,必修,生物与医学工程学院,2
B3I102260,生物化学,沙河校区,宋怡玲|宋 崴,核心专业类,必修,生物与医学工程学院,2
B3I102260,生物化学,沙河校区,宋怡玲|宋 崴,核心专业类,必修,生物与医学工程学院,2
B3I112140,社会调查研究方法(全汉语),沙河校区,方卫华|王军霞,核心专业类,必修,人文社会科学学院,4
B3I112150,政治学原理(全汉语),沙河校区,任丙强,核心专业类,必修,人文社会科学学院,2
B3I112320,社会心理学(全汉语),沙河校区,李卫华,核心专业类,必修,人文社会科学学院,2
B3I112330,发展心理学(全汉语),沙河校区,刘 杨,核心专业类,必修,人文社会科学学院,2
B3I112340,心理统计(全汉语),沙河校区,吴瑞林,核心专业类,必修,人文社会科学学院,3
B3I112710,经济统计(全英语),沙河校区,聂 晨,核心专业类,必修,人文社会科学学院,2
B3I122110,综合英语（3）(英汉双语),沙河校区,顿 超,核心专业类,必修,外国语学院,4
B3I122110,综合英语（3）(英汉双语),沙河校区,宫海荣,核心专业类,必修,外国语学院,4
B3I122110,综合英语（3）(英汉双语),沙河校区,夏 琨,核心专业类,必修,外国语学院,4
B3I122110,综合英语（3）(英汉双语),沙河校区,宫海荣,核心专业类,必修,外国语学院,4
B3I122120,英语听说写（3）(英汉双语),沙河校区,田飞洋,核心专业类,必修,外国语学院,1
B3I122120,英语听说写（3）(英汉双语),沙河校区,田飞洋,核心专业类,必修,外国语学院,1
B3I122130,英语文学阅读（3）(英汉双语),沙河校区,李 英,核心专业类,必修,外国语学院,1
B3I122130,英语文学阅读（3）(英汉双语),沙河校区,李 英,核心专业类,必修,外国语学院,1
B3I122150,英语修辞与写作(英汉双语),沙河校区,张继琴,核心专业类,必修,外国语学院,2
B3I122150,英语修辞与写作(英汉双语),沙河校区,张继琴,核心专业类,必修,外国语学院,2
B3I122150,英语修辞与写作(英汉双语),沙河校区,张继琴,核心专业类,必修,外国语学院,2
B3I122160,英汉基础笔译(英汉双语),沙河校区,李 蒙,核心专业类,必修,外国语学院,1
B3I122160,英汉基础笔译(英汉双语),沙河校区,李 蒙,核心专业类,必修,外国语学院,1
B3I122170,德语口语（3）(其他语言),沙河校区,Barbara Nowara,核心专业类,必修,外国语学院,1
B3I122180,德语视听训练（3）(其他语言),沙河校区,王 莺,核心专业类,必修,外国语学院,1
B3I122190,德语泛读（1）(其他语言),沙河校区,温 静,核心专业类,必修,外国语学院,1.5
B3I122310,综合德语（3）(其他语言),沙河校区,温 静|王 莺,核心专业类,必修,外国语学院,6
B3I192310,电磁学（中、英）(英汉双语),沙河校区,张 颖,核心专业类,必修,物理科学与核能工程学院,4
B3I192320,光学(全汉语),沙河校区,吴 坚,核心专业类,必修,物理科学与核能工程学院,3
B3I192510,数学物理方法（1）(全汉语),沙河校区,邓胜华,核心专业类,必修,物理科学与核能工程学院,6
B3I20212A,物权法(全汉语),沙河校区,刘保玉,核心专业类,必修,法学院,3
B3I20213A,债法（含合同法）(全汉语),沙河校区,龙卫球|张家骥,核心专业类,必修,法学院,4
B3I20251A,法理学(全汉语),沙河校区,罗 昶,核心专业类,必修,法学院,3
B3I202610,宪法(全汉语),沙河校区,翟志勇,核心专业类,必修,法学院,3
B3I202720,刑法分论(全汉语),沙河校区,孙运梁,核心专业类,必修,法学院,4
B3I202810,法律研究与法律写作(全汉语),沙河校区,裴 炜,核心专业类,必修,法学院,2
B3I212110,面向程序设计的硬件基础,沙河校区,邓莹莹,核心专业类,必修,软件学院,4
B3I212210,算法分析与设计,沙河校区,宋 友,核心专业类,必修,软件学院,3
B3I212210,算法分析与设计,沙河校区,宋 友,核心专业类,必修,软件学院,3
B3I27214A,有机化学A1(全汉语),沙河校区,陈贻炽,核心专业类,必修,化学学院,3
B3I27216A,物理化学A1(全汉语),沙河校区,刘兆阅,核心专业类,必修,化学学院,3
B3I27218A,仪器分析(全汉语),沙河校区,赵东宇,核心专业类,必修,化学学院,2
B3I27224A,有机化学实验1(全汉语),沙河校区,王红山,核心专业类,必修,化学学院,2
B3I27224A,有机化学实验1(全汉语),沙河校区,王红山,核心专业类,必修,化学学院,2
B3I27226A,物理化学实验1(全汉语),沙河校区,田东亮,核心专业类,必修,化学学院,2
B3I27226A,物理化学实验1(全汉语),沙河校区,田东亮,核心专业类,必修,化学学院,2
B3I302110,空间探测技术导论(全汉语),沙河校区,曾 立,核心专业类,必修,空间与环境学院,2
B1A012130,物理化学B,沙河校区,王 女,数学与自然科学类,必修,材料科学与工程学院,4
B1A05201B,复变函数(全汉语),沙河校区,赵寿根,数学与自然科学类,必修,航空科学与工程学院,2
B1A05201B,复变函数(全汉语),沙河校区,孙玉鑫,数学与自然科学类,必修,航空科学与工程学院,2
B1A05201B,复变函数(全汉语),沙河校区,刘 波,数学与自然科学类,必修,航空科学与工程学院,2
B1A05202B,概率统计B(全汉语),沙河校区,傅惠民|王治华|张勇波,数学与自然科学类,必修,航空科学与工程学院,2
B1A05202B,概率统计B(全汉语),沙河校区,沈志刚|张勇波,数学与自然科学类,必修,航空科学与工程学院,2
B1A072010,工程中的计算方法(全汉语),沙河校区,闫光荣|宁 涛|胡毕富|陈甜甜,数学与自然科学类,必修,机械工程及自动化学院,2
B1A072010,工程中的计算方法(全汉语),沙河校区,闫光荣|宁 涛|胡毕富|陈甜甜,数学与自然科学类,必修,机械工程及自动化学院,2
B1A09103B,线性代数(全汉语),沙河校区,王拥军,数学与自然科学类,必修,数学与系统科学学院,4
B1A09204A,概率统计A(全汉语),沙河校区,邢家省,数学与自然科学类,必修,数学与系统科学学院,3
B1A09204A,概率统计A(全汉语),沙河校区,马 健,数学与自然科学类,必修,数学与系统科学学院,3
B1A09204A,概率统计A(全汉语),沙河校区,张奇业,数学与自然科学类,必修,数学与系统科学学院,3
B1A09204A,概率统计A(全汉语),沙河校区,杨卓琴,数学与自然科学类,必修,数学与系统科学学院,3
B1A09204A,概率统计A(全汉语),沙河校区,阮元龙,数学与自然科学类,必修,数学与系统科学学院,3
B1A09204A,概率统计A(全汉语),沙河校区,刘明菊,数学与自然科学类,必修,数学与系统科学学院,3
B1A09204B,概率统计B(全汉语),沙河校区,刘 超,数学与自然科学类,必修,数学与系统科学学院,2
B1A09204B,概率统计B(全汉语),沙河校区,张思容,数学与自然科学类,必修,数学与系统科学学院,2
B1A192011,工科大学物理（2）（全英文）(全英语),沙河校区,刁训刚|宋春艳|沈成平|李 伟,数学与自然科学类,必修,物理科学与核能工程学院,4
B1A19201B,工科大学物理（2）(全汉语),沙河校区,王金良|舒小林,数学与自然科学类,必修,物理科学与核能工程学院,4
B1A19201B,工科大学物理（2）(全汉语),沙河校区,王金良|舒小林,数学与自然科学类,必修,物理科学与核能工程学院,4
B1A19201B,工科大学物理（2）(全汉语),沙河校区,乐小云|张玉洁,数学与自然科学类,必修,物理科学与核能工程学院,4
B1A19201B,工科大学物理（2）(全汉语),沙河校区,黄安平,数学与自然科学类,必修,物理科学与核能工程学院,4
B1A19201B,工科大学物理（2）(全汉语),沙河校区,宋春艳|柳 飞,数学与自然科学类,必修,物理科学与核能工程学院,4
B1A19201B,工科大学物理（2）(全汉语),沙河校区,刘玉萍|张时声,数学与自然科学类,必修,物理科学与核能工程学院,4
B1A19201B,工科大学物理（2）(全汉语),沙河校区,刘玉萍|张时声,数学与自然科学类,必修,物理科学与核能工程学院,4
B1A19201B,工科大学物理（2）(全汉语),沙河校区,潘 晖|时洪亮,数学与自然科学类,必修,物理科学与核能工程学院,4
B1A19201B,工科大学物理（2）(全汉语),沙河校区,潘 晖|时洪亮,数学与自然科学类,必修,物理科学与核能工程学院,4
B1A19201B,工科大学物理（2）(全汉语),沙河校区,赵 路,数学与自然科学类,必修,物理科学与核能工程学院,4
B1A19201B,工科大学物理（2）(全汉语),沙河校区,宋春艳|柳 飞,数学与自然科学类,必修,物理科学与核能工程学院,4
B1A19201B,工科大学物理（2）(全汉语),沙河校区,金 硕|孙 莹,数学与自然科学类,必修,物理科学与核能工程学院,4
B1A19201B,工科大学物理（2）(全汉语),沙河校区,金 硕|孙 莹,数学与自然科学类,必修,物理科学与核能工程学院,4
B1A19201B,工科大学物理（2）(全汉语),沙河校区,苟成玲,数学与自然科学类,必修,物理科学与核能工程学院,4
B1A19201B,工科大学物理（2）(全汉语),沙河校区,赵素芬|王海龙,数学与自然科学类,必修,物理科学与核能工程学院,4
B1A19201B,工科大学物理（2）(全汉语),沙河校区,赵素芬|王海龙,数学与自然科学类,必修,物理科学与核能工程学院,4
B1A231020,高等代数（1）,沙河校区,吴文峻,数学与自然科学类,必修,高等理工学院,5
B1A231020,高等代数（1）,沙河校区,孙晓伟|吴文峻,数学与自然科学类,必修,高等理工学院,5
